"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7506","create collaborator","chromium","Tue Oct 22 16:27:01 UTC 2024","passed","Tue Oct 22 16:27:08 UTC 2024","","connectF.spec.ts","",""
"","3090","ajout collaborateur","chromium","Tue Oct 22 16:27:23 UTC 2024","passed","Tue Oct 22 16:27:26 UTC 2024","","mossallFixture.spec.ts","",""
"","4727","Valider une demande","chromium","Tue Oct 22 16:27:14 UTC 2024","passed","Tue Oct 22 16:27:19 UTC 2024","","demoFixture.spec.ts","",""
"","3027","test de connexion","chromium","Tue Oct 22 16:27:08 UTC 2024","passed","Tue Oct 22 16:27:11 UTC 2024","","connexion.spec.ts","",""
"","2920","Ajout collaborateur","chromium","Tue Oct 22 16:27:12 UTC 2024","passed","Tue Oct 22 16:27:14 UTC 2024","","demoFixture.spec.ts","",""
"","3581","mossal login","chromium","Tue Oct 22 16:27:19 UTC 2024","passed","Tue Oct 22 16:27:23 UTC 2024","","login.spec.ts","",""
